videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
C1d6UBRzzIA,25,2025-08-13 18:37:05,1.0,1.0,0.5,1.0,0.773,0.421,0.183,0.784,C1d6UBRzzIA,yolo_production,"{'total_time': 2.0701072216033936, 'analysis_fps': 12.076669140179293, 'detection_fps': np.float64(51.45615497823119), 'gpu_used': True}"
f1Eq0DLKw5g,25,2025-08-13 18:37:06,0.0,,,0.0,0.686,0.464,0.073,0.844,f1Eq0DLKw5g,yolo_production,"{'total_time': 2.0225086212158203, 'analysis_fps': 12.360886741225055, 'detection_fps': np.float64(48.54788661228033), 'gpu_used': True}"
iBBKZ7UjkwY,25,2025-08-13 18:37:07,1.0,1.0,,0.0,0.714,0.527,0.204,0.751,iBBKZ7UjkwY,yolo_production,"{'total_time': 1.9563803672790527, 'analysis_fps': 12.778701124858543, 'detection_fps': np.float64(48.79410811923363), 'gpu_used': True}"
92ZTtRLMZIg,25,2025-08-13 18:37:07,1.0,2.0,0.5,1.0,0.422,0.479,0.502,0.415,92ZTtRLMZIg,yolo_production,"{'total_time': 2.4480397701263428, 'analysis_fps': 10.212252392741869, 'detection_fps': np.float64(45.42071173283342), 'gpu_used': True}"
H51TkTEbDs8,25,2025-08-13 18:37:07,1.0,1.0,0.5,0.0,0.563,0.48,0.216,0.75,H51TkTEbDs8,yolo_production,"{'total_time': 1.8655619621276855, 'analysis_fps': 13.400787809528094, 'detection_fps': np.float64(51.97080726101233), 'gpu_used': True}"
oKYbuubSK_g,25,2025-08-13 18:37:08,1.0,1.0,1.0,1.0,0.877,0.527,0.255,0.517,oKYbuubSK_g,yolo_production,"{'total_time': 2.890489339828491, 'analysis_fps': 8.649054558175049, 'detection_fps': np.float64(45.56425952581407), 'gpu_used': True}"
HY-o1hEldYc,25,2025-08-13 18:37:09,0.0,,,0.0,0.52,0.444,0.053,0.828,HY-o1hEldYc,yolo_production,"{'total_time': 1.9648699760437012, 'analysis_fps': 12.723488223041569, 'detection_fps': np.float64(45.96879235072417), 'gpu_used': True}"
cbgPcRXVOG8,25,2025-08-13 18:37:09,1.0,1.0,0.5,0.0,0.74,0.476,0.17,0.786,cbgPcRXVOG8,yolo_production,"{'total_time': 2.0014584064483643, 'analysis_fps': 12.490891601571224, 'detection_fps': np.float64(46.75683611168279), 'gpu_used': True}"
vjk4ttFRnyE,25,2025-08-13 18:37:10,1.0,2.0,0.5,1.0,0.921,0.524,0.315,0.351,vjk4ttFRnyE,yolo_production,"{'total_time': 2.234973669052124, 'analysis_fps': 11.185814108764317, 'detection_fps': np.float64(46.40350558428036), 'gpu_used': True}"
T7Oo_0guYaQ,25,2025-08-13 18:37:11,1.0,1.0,0.0,0.0,0.937,0.466,0.175,0.036,T7Oo_0guYaQ,yolo_production,"{'total_time': 2.141367197036743, 'analysis_fps': 11.674784238123841, 'detection_fps': np.float64(45.590597843549276), 'gpu_used': True}"
t4JAY1j1-FU,25,2025-08-13 18:37:11,1.0,2.0,0.0,1.0,0.791,0.436,0.527,0.362,t4JAY1j1-FU,yolo_production,"{'total_time': 3.0360631942749023, 'analysis_fps': 8.234347706313375, 'detection_fps': np.float64(43.8778860120305), 'gpu_used': True}"
rkvgUNanvU0,25,2025-08-13 18:37:12,1.0,1.0,0.5,0.0,0.725,0.538,0.2,0.76,rkvgUNanvU0,yolo_production,"{'total_time': 2.2811903953552246, 'analysis_fps': 10.959190452012676, 'detection_fps': np.float64(46.41081257296116), 'gpu_used': True}"
4K6HH785IVk,25,2025-08-13 18:37:12,1.0,3.0,0.0,1.0,0.96,0.444,0.337,0.364,4K6HH785IVk,yolo_production,"{'total_time': 2.0362071990966797, 'analysis_fps': 12.277728912406715, 'detection_fps': np.float64(54.27357985368038), 'gpu_used': True}"
hxegYJjsTDI,25,2025-08-13 18:37:13,1.0,1.0,1.0,1.0,0.617,0.462,0.164,0.803,hxegYJjsTDI,yolo_production,"{'total_time': 1.9521210193634033, 'analysis_fps': 12.806583071449447, 'detection_fps': np.float64(48.30336731267878), 'gpu_used': True}"
